Id,Population Group,Id,Id2,Geography,Average family size
1,Total population,1580000US3651000005009800,3651000005009800,"Census Tract 98, Bronx County, New York city, New York",3.3
1,Total population,1580000US3651000005009900,3651000005009900,"Census Tract 99, Bronx County, New York city, New York",3.6
1,Total population,1580000US3651000005010500,3651000005010500,"Census Tract 105, Bronx County, New York city, New York",3.04
1,Total population,1580000US3651000005011000,3651000005011000,"Census Tract 110, Bronx County, New York city, New York",2.77
1,Total population,1580000US3651000005011501,3651000005011501,"Census Tract 115.01, Bronx County, New York city, New York",3.28
1,Total population,1580000US3651000005011502,3651000005011502,"Census Tract 115.02, Bronx County, New York city, New York",3.58
1,Total population,1580000US3651000005011800,3651000005011800,"Census Tract 118, Bronx County, New York city, New York",3.12
1,Total population,1580000US3651000005011900,3651000005011900,"Census Tract 119, Bronx County, New York city, New York",3.42
1,Total population,1580000US3651000005012101,3651000005012101,"Census Tract 121.01, Bronx County, New York city, New York",3.67
1,Total population,1580000US3651000005012102,3651000005012102,"Census Tract 121.02, Bronx County, New York city, New York",3.69
1,Total population,1580000US3651000005012300,3651000005012300,"Census Tract 123, Bronx County, New York city, New York",3.55
1,Total population,1580000US3651000005012500,3651000005012500,"Census Tract 125, Bronx County, New York city, New York",3.62
1,Total population,1580000US3651000005012701,3651000005012701,"Census Tract 127.01, Bronx County, New York city, New York",3.62
1,Total population,1580000US3651000005012702,3651000005012702,"Census Tract 127.02, Bronx County, New York city, New York",3.78
1,Total population,1580000US3651000005012901,3651000005012901,"Census Tract 129.01, Bronx County, New York city, New York",3.61
1,Total population,1580000US3651000005012902,3651000005012902,"Census Tract 129.02, Bronx County, New York city, New York",3.53
1,Total population,1580000US3651000005013000,3651000005013000,"Census Tract 130, Bronx County, New York city, New York",3.16
1,Total population,1580000US3651000005013100,3651000005013100,"Census Tract 131, Bronx County, New York city, New York",3.62
1,Total population,1580000US3651000005013200,3651000005013200,"Census Tract 132, Bronx County, New York city, New York",3.12
1,Total population,1580000US3651000005013300,3651000005013300,"Census Tract 133, Bronx County, New York city, New York",3.43
1,Total population,1580000US3651000005013500,3651000005013500,"Census Tract 135, Bronx County, New York city, New York",3.54
1,Total population,1580000US3651000005013700,3651000005013700,"Census Tract 137, Bronx County, New York city, New York",3.36
1,Total population,1580000US3651000005013800,3651000005013800,"Census Tract 138, Bronx County, New York city, New York",3.19
1,Total population,1580000US3651000005013900,3651000005013900,"Census Tract 139, Bronx County, New York city, New York",3.67
1,Total population,1580000US3651000005014100,3651000005014100,"Census Tract 141, Bronx County, New York city, New York",3.53
1,Total population,1580000US3651000005014300,3651000005014300,"Census Tract 143, Bronx County, New York city, New York",3.76
1,Total population,1580000US3651000005014400,3651000005014400,"Census Tract 144, Bronx County, New York city, New York",3.33
1,Total population,1580000US3651000005014500,3651000005014500,"Census Tract 145, Bronx County, New York city, New York",3.49
1,Total population,1580000US3651000005014700,3651000005014700,"Census Tract 147, Bronx County, New York city, New York",3.74
1,Total population,1580000US3651000005014900,3651000005014900,"Census Tract 149, Bronx County, New York city, New York",3.48
1,Total population,1580000US3651000005015100,3651000005015100,"Census Tract 151, Bronx County, New York city, New York",3.62
1,Total population,1580000US3651000005015300,3651000005015300,"Census Tract 153, Bronx County, New York city, New York",3.51
1,Total population,1580000US3651000005015400,3651000005015400,"Census Tract 154, Bronx County, New York city, New York",3.09
