Id,Population Group,Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
1,Total population,1580000US3651000005006400,3651000005006400,"Census Tract 64, Bronx County, New York city, New York",1257,222,43,78,66,102,108,142,96,39,123,97,93,39,9,0,0
1,Total population,1580000US3651000005006500,3651000005006500,"Census Tract 65, Bronx County, New York city, New York",1656,495,219,171,142,184,71,73,36,15,42,102,37,20,35,0,14
1,Total population,1580000US3651000005006600,3651000005006600,"Census Tract 66, Bronx County, New York city, New York",1370,239,156,153,74,149,172,38,73,56,72,101,41,31,15,0,0
1,Total population,1580000US3651000005006700,3651000005006700,"Census Tract 67, Bronx County, New York city, New York",2120,686,294,152,200,175,139,68,96,41,93,45,84,5,0,11,31
1,Total population,1580000US3651000005006800,3651000005006800,"Census Tract 68, Bronx County, New York city, New York",1139,292,86,54,112,92,62,10,47,40,106,100,54,35,17,12,20
1,Total population,1580000US3651000005006900,3651000005006900,"Census Tract 69, Bronx County, New York city, New York",1331,630,250,88,88,79,15,51,32,35,0,22,20,6,3,0,12
1,Total population,1580000US3651000005007000,3651000005007000,"Census Tract 70, Bronx County, New York city, New York",1281,220,75,124,102,68,75,80,67,123,88,113,83,39,16,0,8
1,Total population,1580000US3651000005007100,3651000005007100,"Census Tract 71, Bronx County, New York city, New York",560,118,53,37,20,6,36,43,20,24,75,53,56,4,15,0,0
1,Total population,1580000US3651000005007200,3651000005007200,"Census Tract 72, Bronx County, New York city, New York",1753,297,207,134,65,119,142,120,106,111,141,127,112,32,21,4,15
1,Total population,1580000US3651000005007300,3651000005007300,"Census Tract 73, Bronx County, New York city, New York",1084,314,108,86,126,87,113,62,15,34,63,37,13,7,0,9,10
1,Total population,1580000US3651000005007400,3651000005007400,"Census Tract 74, Bronx County, New York city, New York",1297,202,59,48,61,96,94,66,138,77,185,111,29,75,39,7,10
1,Total population,1580000US3651000005007500,3651000005007500,"Census Tract 75, Bronx County, New York city, New York",1566,432,144,181,99,117,76,69,90,55,41,107,73,66,0,8,8
1,Total population,1580000US3651000005007700,3651000005007700,"Census Tract 77, Bronx County, New York city, New York",439,123,41,32,72,26,7,58,14,3,39,11,8,5,0,0,0
1,Total population,1580000US3651000005007800,3651000005007800,"Census Tract 78, Bronx County, New York city, New York",2075,308,168,85,181,139,179,116,111,30,179,244,176,91,31,13,24
1,Total population,1580000US3651000005007900,3651000005007900,"Census Tract 79, Bronx County, New York city, New York",2215,833,287,237,187,195,124,97,48,9,86,41,16,24,7,16,8
1,Total population,1580000US3651000005008300,3651000005008300,"Census Tract 83, Bronx County, New York city, New York",2002,507,170,141,155,127,177,215,105,63,136,85,60,24,25,0,12
1,Total population,1580000US3651000005008400,3651000005008400,"Census Tract 84, Bronx County, New York city, New York",575,75,45,13,44,29,39,43,48,23,29,72,44,31,30,5,5
1,Total population,1580000US3651000005008500,3651000005008500,"Census Tract 85, Bronx County, New York city, New York",1512,519,184,99,132,86,88,38,54,31,91,85,44,0,43,8,10
1,Total population,1580000US3651000005008600,3651000005008600,"Census Tract 86, Bronx County, New York city, New York",1439,579,162,110,113,91,91,49,76,19,66,49,18,11,0,0,5
1,Total population,1580000US3651000005008700,3651000005008700,"Census Tract 87, Bronx County, New York city, New York",1446,376,216,137,93,127,71,65,111,65,50,43,43,31,0,5,13
1,Total population,1580000US3651000005008800,3651000005008800,"Census Tract 88, Bronx County, New York city, New York",1052,326,175,83,51,49,35,15,48,34,63,85,29,32,15,12,0
1,Total population,1580000US3651000005008900,3651000005008900,"Census Tract 89, Bronx County, New York city, New York",1065,400,162,65,81,59,77,22,49,14,56,60,20,0,0,0,0
1,Total population,1580000US3651000005009200,3651000005009200,"Census Tract 92, Bronx County, New York city, New York",1799,277,69,125,96,167,135,108,78,100,230,198,136,51,15,9,5
1,Total population,1580000US3651000005009400,3651000005009400,"Census Tract 94, Bronx County, New York city, New York",448,34,36,28,44,9,47,23,9,33,40,41,63,11,22,0,8
1,Total population,1580000US3651000005009800,3651000005009800,"Census Tract 98, Bronx County, New York city, New York",1911,298,86,134,96,146,102,125,72,171,118,236,152,110,33,7,25
1,Total population,1580000US3651000005009900,3651000005009900,"Census Tract 99, Bronx County, New York city, New York",1551,563,119,129,113,107,82,84,54,50,138,36,51,22,3,0,0
1,Total population,1580000US3651000005011501,3651000005011501,"Census Tract 115.01, Bronx County, New York city, New York",460,156,43,57,31,41,41,18,31,19,6,17,0,0,0,0,0
1,Total population,1580000US3651000005011502,3651000005011502,"Census Tract 115.02, Bronx County, New York city, New York",1222,497,137,158,84,57,32,42,48,25,52,52,7,18,6,7,0
1,Total population,1580000US3651000005011800,3651000005011800,"Census Tract 118, Bronx County, New York city, New York",1749,122,102,71,57,74,61,100,55,43,225,227,313,160,87,16,36
1,Total population,1580000US3651000005011900,3651000005011900,"Census Tract 119, Bronx County, New York city, New York",1631,543,212,130,133,75,88,55,77,33,126,82,27,5,23,0,22
1,Total population,1580000US3651000005012101,3651000005012101,"Census Tract 121.01, Bronx County, New York city, New York",846,242,44,92,99,68,45,24,45,36,54,49,43,0,5,0,0
1,Total population,1580000US3651000005012102,3651000005012102,"Census Tract 121.02, Bronx County, New York city, New York",494,148,89,47,65,34,14,13,12,17,28,0,13,0,7,0,7
1,Total population,1580000US3651000005012300,3651000005012300,"Census Tract 123, Bronx County, New York city, New York",973,292,140,88,106,72,102,29,25,27,33,26,17,0,7,0,9
1,Total population,1580000US3651000005012500,3651000005012500,"Census Tract 125, Bronx County, New York city, New York",721,186,51,50,50,42,41,31,20,10,50,78,34,65,0,8,5
1,Total population,1580000US3651000005012701,3651000005012701,"Census Tract 127.01, Bronx County, New York city, New York",712,267,144,41,45,35,25,8,17,40,23,26,13,6,9,0,13
1,Total population,1580000US3651000005012702,3651000005012702,"Census Tract 127.02, Bronx County, New York city, New York",503,157,52,44,23,18,0,29,16,0,60,28,45,0,18,0,13
1,Total population,1580000US3651000005012901,3651000005012901,"Census Tract 129.01, Bronx County, New York city, New York",958,424,110,62,45,69,63,29,40,18,14,49,19,10,0,0,6
1,Total population,1580000US3651000005012902,3651000005012902,"Census Tract 129.02, Bronx County, New York city, New York",209,123,22,20,0,0,14,0,0,0,12,18,0,0,0,0,0
1,Total population,1580000US3651000005013000,3651000005013000,"Census Tract 130, Bronx County, New York city, New York",406,31,29,22,57,19,0,29,0,40,32,22,49,38,10,13,15
1,Total population,1580000US3651000005013100,3651000005013100,"Census Tract 131, Bronx County, New York city, New York",1123,465,135,75,83,44,10,73,49,0,71,35,65,9,0,0,9
1,Total population,1580000US3651000005013200,3651000005013200,"Census Tract 132, Bronx County, New York city, New York",2182,228,126,90,97,109,55,76,78,92,282,231,292,238,98,50,40
1,Total population,1580000US3651000005013300,3651000005013300,"Census Tract 133, Bronx County, New York city, New York",2154,797,207,192,165,132,113,70,101,61,69,129,53,8,18,24,15
1,Total population,1580000US3651000005013500,3651000005013500,"Census Tract 135, Bronx County, New York city, New York",1032,374,150,90,22,61,35,67,41,24,58,33,44,13,5,6,9
1,Total population,1580000US3651000005013700,3651000005013700,"Census Tract 137, Bronx County, New York city, New York",1308,366,106,105,119,115,71,78,71,59,45,71,63,15,7,11,6
1,Total population,1580000US3651000005013800,3651000005013800,"Census Tract 138, Bronx County, New York city, New York",717,55,86,46,26,36,17,16,55,31,54,88,108,54,21,18,6
1,Total population,1580000US3651000005013900,3651000005013900,"Census Tract 139, Bronx County, New York city, New York",197,54,15,14,40,31,0,6,8,18,0,0,0,0,0,0,11
1,Total population,1580000US3651000005014100,3651000005014100,"Census Tract 141, Bronx County, New York city, New York",718,252,127,71,43,94,33,18,7,17,10,27,12,7,0,0,0
1,Total population,1580000US3651000005014300,3651000005014300,"Census Tract 143, Bronx County, New York city, New York",297,163,33,21,18,20,7,15,7,0,0,6,7,0,0,0,0
1,Total population,1580000US3651000005014400,3651000005014400,"Census Tract 144, Bronx County, New York city, New York",1968,601,169,153,121,179,99,44,112,68,152,84,89,45,13,13,26
1,Total population,1580000US3651000005014500,3651000005014500,"Census Tract 145, Bronx County, New York city, New York",1737,628,287,186,88,65,99,37,53,77,60,77,38,15,0,9,18
1,Total population,1580000US3651000005014700,3651000005014700,"Census Tract 147, Bronx County, New York city, New York",3459,1647,377,287,258,180,183,117,103,72,88,50,35,23,11,0,28
1,Total population,1580000US3651000005014900,3651000005014900,"Census Tract 149, Bronx County, New York city, New York",1242,468,168,54,107,64,57,44,48,52,82,54,16,6,0,22,0
1,Total population,1580000US3651000005015100,3651000005015100,"Census Tract 151, Bronx County, New York city, New York",1524,480,183,153,124,117,91,83,43,29,61,67,66,18,0,0,9
1,Total population,1580000US3651000005015300,3651000005015300,"Census Tract 153, Bronx County, New York city, New York",1032,306,109,83,91,119,67,41,46,24,19,26,51,10,20,0,20
1,Total population,1580000US3651000005015400,3651000005015400,"Census Tract 154, Bronx County, New York city, New York",362,37,0,23,20,24,31,12,5,0,44,85,30,11,12,28,0
1,Total population,1580000US3651000005015500,3651000005015500,"Census Tract 155, Bronx County, New York city, New York",922,301,106,95,31,55,92,36,16,26,37,52,19,22,15,0,19
1,Total population,1580000US3651000005015600,3651000005015600,"Census Tract 156, Bronx County, New York city, New York",537,22,26,20,33,36,22,28,22,24,59,73,111,26,35,0,0
1,Total population,1580000US3651000005015700,3651000005015700,"Census Tract 157, Bronx County, New York city, New York",1073,307,62,159,45,85,61,69,43,51,34,82,17,32,12,14,0
1,Total population,1580000US3651000005015800,3651000005015800,"Census Tract 158, Bronx County, New York city, New York",548,66,68,57,37,19,37,46,44,34,9,41,63,27,0,0,0
1,Total population,1580000US3651000005016000,3651000005016000,"Census Tract 160, Bronx County, New York city, New York",2109,197,108,150,128,164,79,80,123,125,160,273,211,202,39,49,21
1,Total population,1580000US3651000005016100,3651000005016100,"Census Tract 161, Bronx County, New York city, New York",1744,653,185,97,154,133,102,34,109,43,71,82,54,11,0,0,16
