Id,Population Group,Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Male:,Income in 1999 below poverty level: - Male: - 15 years,Income in 1999 below poverty level: - Male: - 16 and 17 years,Income in 1999 below poverty level: - Male: - 18 to 24 years,Income in 1999 below poverty level: - Male: - 25 to 34 years,Income in 1999 below poverty level: - Male: - 35 to 44 years,Income in 1999 below poverty level: - Male: - 45 to 54 years,Income in 1999 below poverty level: - Male: - 55 to 64 years,Income in 1999 below poverty level: - Male: - 65 to 74 years,Income in 1999 below poverty level: - Male: - 75 years and over,Income in 1999 below poverty level: - Female:,Income in 1999 below poverty level: - Female: - 15 years,Income in 1999 below poverty level: - Female: - 16 and 17 years,Income in 1999 below poverty level: - Female: - 18 to 24 years,Income in 1999 below poverty level: - Female: - 25 to 34 years,Income in 1999 below poverty level: - Female: - 35 to 44 years,Income in 1999 below poverty level: - Female: - 45 to 54 years,Income in 1999 below poverty level: - Female: - 55 to 64 years,Income in 1999 below poverty level: - Female: - 65 to 74 years,Income in 1999 below poverty level: - Female: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Male:,Income in 1999 at or above poverty level: - Male: - 15 years,Income in 1999 at or above poverty level: - Male: - 16 and 17 years,Income in 1999 at or above poverty level: - Male: - 18 to 24 years,Income in 1999 at or above poverty level: - Male: - 25 to 34 years,Income in 1999 at or above poverty level: - Male: - 35 to 44 years,Income in 1999 at or above poverty level: - Male: - 45 to 54 years,Income in 1999 at or above poverty level: - Male: - 55 to 64 years,Income in 1999 at or above poverty level: - Male: - 65 to 74 years,Income in 1999 at or above poverty level: - Male: - 75 years and over,Income in 1999 at or above poverty level: - Female:,Income in 1999 at or above poverty level: - Female: - 15 years,Income in 1999 at or above poverty level: - Female: - 16 and 17 years,Income in 1999 at or above poverty level: - Female: - 18 to 24 years,Income in 1999 at or above poverty level: - Female: - 25 to 34 years,Income in 1999 at or above poverty level: - Female: - 35 to 44 years,Income in 1999 at or above poverty level: - Female: - 45 to 54 years,Income in 1999 at or above poverty level: - Female: - 55 to 64 years,Income in 1999 at or above poverty level: - Female: - 65 to 74 years,Income in 1999 at or above poverty level: - Female: - 75 years and over
1,Total population,1580000US3651000047017000,3651000047017000,"Census Tract 170, Kings County, New York city, New York",440,72,5,0,0,5,0,0,0,0,0,0,67,0,0,0,6,4,0,9,7,41,368,157,0,0,0,26,10,38,28,12,43,211,0,0,0,18,44,48,10,19,72
1,Total population,1580000US3651000047017100,3651000047017100,"Census Tract 171, Kings County, New York city, New York",1106,142,44,0,0,13,18,13,0,0,0,0,98,0,0,32,14,21,0,9,0,22,964,406,0,0,18,164,132,41,5,40,6,558,0,0,47,184,119,116,24,20,48
1,Total population,1580000US3651000047017200,3651000047017200,"Census Tract 172, Kings County, New York city, New York",504,162,38,0,8,9,0,13,0,8,0,0,124,0,14,20,9,7,6,20,25,23,342,146,0,0,20,10,25,38,33,5,15,196,0,0,0,30,58,5,4,34,65
1,Total population,1580000US3651000047017400,3651000047017400,"Census Tract 174, Kings County, New York city, New York",196,49,10,0,0,0,10,0,0,0,0,0,39,0,0,0,7,0,8,0,10,14,147,74,0,0,27,16,8,0,10,6,7,73,0,0,6,14,5,0,9,10,29
1,Total population,1580000US3651000047017600,3651000047017600,"Census Tract 176, Kings County, New York city, New York",436,110,80,0,0,29,4,42,0,5,0,0,30,0,0,0,0,0,10,0,0,20,326,167,0,0,0,61,29,28,25,3,21,159,0,0,6,13,33,56,10,14,27
1,Total population,1580000US3651000047017800,3651000047017800,"Census Tract 178, Kings County, New York city, New York",368,125,29,0,0,23,6,0,0,0,0,0,96,0,0,6,21,8,10,10,22,19,243,148,0,0,11,33,59,24,11,0,10,95,0,0,12,6,35,9,6,0,27
1,Total population,1580000US3651000047017900,3651000047017900,"Census Tract 179, Kings County, New York city, New York",977,273,162,0,0,38,44,20,17,31,4,8,111,0,20,8,7,13,15,5,19,24,704,368,0,0,15,101,137,63,45,0,7,336,0,0,49,114,59,33,25,39,17
1,Total population,1580000US3651000047018000,3651000047018000,"Census Tract 180, Kings County, New York city, New York",521,167,51,0,0,18,14,0,0,12,0,7,116,0,0,16,8,0,27,0,44,21,354,200,0,28,11,74,14,12,12,30,19,154,0,0,19,16,0,19,23,29,48
1,Total population,1580000US3651000047018100,3651000047018100,"Census Tract 181, Kings County, New York city, New York",2084,354,254,0,0,32,77,58,24,34,21,8,100,0,0,0,21,22,0,10,0,47,1730,939,0,0,81,368,218,141,92,21,18,791,0,0,29,451,94,120,38,13,46
1,Total population,1580000US3651000047018200,3651000047018200,"Census Tract 182, Kings County, New York city, New York",308,91,22,0,0,0,5,7,0,0,10,0,69,0,0,0,5,0,10,0,6,48,217,93,0,0,4,6,42,6,6,13,16,124,0,0,10,38,7,7,24,10,28
1,Total population,1580000US3651000047018300,3651000047018300,"Census Tract 183, Kings County, New York city, New York",976,157,58,0,0,26,25,0,0,0,7,0,99,0,2,13,32,16,0,36,0,0,819,399,0,0,22,200,94,42,21,11,9,420,0,0,50,214,74,37,14,11,20
1,Total population,1580000US3651000047018400,3651000047018400,"Census Tract 184, Kings County, New York city, New York",321,74,10,0,0,0,0,0,0,0,3,7,64,7,0,0,0,0,0,7,23,27,247,127,0,0,0,31,10,4,35,18,29,120,0,0,16,12,7,17,30,29,9
1,Total population,1580000US3651000047018501,3651000047018501,"Census Tract 185.01, Kings County, New York city, New York",1020,605,240,0,0,13,16,25,111,66,9,0,365,0,0,21,31,73,53,82,66,39,415,218,0,0,17,57,13,75,35,21,0,197,0,0,48,19,44,19,13,45,9
1,Total population,1580000US3651000047018502,3651000047018502,"Census Tract 185.02, Kings County, New York city, New York",204,50,30,0,0,0,0,5,25,0,0,0,20,0,0,0,20,0,0,0,0,0,154,83,0,0,0,37,18,28,0,0,0,71,0,0,0,0,6,15,24,26,0
1,Total population,1580000US3651000047018600,3651000047018600,"Census Tract 186, Kings County, New York city, New York",274,57,6,0,0,0,0,6,0,0,0,0,51,0,0,0,12,0,0,0,0,39,217,62,0,0,0,18,0,12,0,19,13,155,0,0,14,21,32,29,9,10,40
1,Total population,1580000US3651000047018700,3651000047018700,"Census Tract 187, Kings County, New York city, New York",384,108,52,0,0,32,12,0,0,8,0,0,56,0,0,22,8,14,0,0,0,12,276,112,0,0,10,44,19,21,0,0,18,164,0,0,14,42,26,9,57,0,16
1,Total population,1580000US3651000047018800,3651000047018800,"Census Tract 188, Kings County, New York city, New York",272,121,54,0,0,0,0,0,20,20,8,6,67,0,0,8,0,0,0,18,13,28,151,64,0,0,0,0,45,5,6,8,0,87,0,0,0,0,19,5,18,22,23
1,Total population,1580000US3651000047019000,3651000047019000,"Census Tract 190, Kings County, New York city, New York",692,237,133,0,0,56,24,32,6,15,0,0,104,0,0,14,13,28,0,0,0,49,455,262,0,0,20,56,111,29,11,25,10,193,0,0,8,34,12,31,14,52,42
1,Total population,1580000US3651000047019100,3651000047019100,"Census Tract 191, Kings County, New York city, New York",832,223,59,0,0,0,35,24,0,0,0,0,164,0,0,7,59,51,17,7,16,7,609,374,0,0,39,210,17,67,13,0,28,235,0,0,12,61,53,62,13,14,20
1,Total population,1580000US3651000047019200,3651000047019200,"Census Tract 192, Kings County, New York city, New York",276,119,77,0,0,11,8,27,25,0,0,6,42,0,0,0,10,5,0,0,0,27,157,99,0,0,0,27,25,17,9,16,5,58,0,0,0,7,10,15,0,12,14
1,Total population,1580000US3651000047019300,3651000047019300,"Census Tract 193, Kings County, New York city, New York",1655,492,191,0,0,59,40,58,34,0,0,0,301,0,0,17,28,32,90,55,7,72,1163,266,0,0,15,27,40,44,74,40,26,897,0,0,50,84,164,115,161,167,156
1,Total population,1580000US3651000047019400,3651000047019400,"Census Tract 194, Kings County, New York city, New York",351,96,33,0,0,13,0,0,0,0,10,10,63,0,0,11,0,12,8,20,0,12,255,134,0,0,0,28,45,32,9,0,20,121,0,0,16,0,23,15,34,12,21
1,Total population,1580000US3651000047019500,3651000047019500,"Census Tract 195, Kings County, New York city, New York",1449,266,120,0,0,6,55,17,21,7,6,8,146,0,0,21,49,13,4,41,0,18,1183,557,0,0,46,171,116,78,64,76,6,626,0,0,49,274,84,71,74,33,41
1,Total population,1580000US3651000047019600,3651000047019600,"Census Tract 196, Kings County, New York city, New York",576,206,84,0,0,6,32,13,0,0,14,19,122,0,0,0,21,23,0,18,16,44,370,215,0,0,8,64,51,50,10,22,10,155,0,0,21,7,39,26,9,18,35
1,Total population,1580000US3651000047019700,3651000047019700,"Census Tract 197, Kings County, New York city, New York",1585,268,113,0,0,52,16,14,8,0,23,0,155,0,6,81,16,0,12,8,13,19,1317,758,0,0,83,299,118,114,62,57,25,559,0,0,41,155,149,114,63,26,11
1,Total population,1580000US3651000047019800,3651000047019800,"Census Tract 198, Kings County, New York city, New York",280,65,11,0,0,11,0,0,0,0,0,0,54,0,0,12,0,0,6,0,16,20,215,86,0,0,3,9,22,23,12,7,10,129,0,0,4,31,0,11,24,16,43
1,Total population,1580000US3651000047019900,3651000047019900,"Census Tract 199, Kings County, New York city, New York",1445,443,248,11,14,31,100,0,8,25,28,31,195,0,15,19,44,45,23,17,32,0,1002,481,0,0,50,196,118,69,7,30,11,521,0,0,108,168,91,40,40,41,33
1,Total population,1580000US3651000047020000,3651000047020000,"Census Tract 200, Kings County, New York city, New York",276,87,43,0,0,0,0,8,20,6,9,0,44,0,0,0,0,0,0,7,14,23,189,57,0,0,8,12,9,6,6,16,0,132,0,0,0,32,8,22,9,14,47
1,Total population,1580000US3651000047020100,3651000047020100,"Census Tract 201, Kings County, New York city, New York",1438,295,126,0,0,0,27,16,26,21,25,11,169,0,0,46,65,21,0,23,14,0,1143,601,0,0,48,245,186,56,44,22,0,542,0,0,72,197,78,119,46,11,19
1,Total population,1580000US3651000047020200,3651000047020200,"Census Tract 202, Kings County, New York city, New York",260,68,18,0,0,0,14,4,0,0,0,0,50,0,0,0,4,6,0,9,7,24,192,75,0,0,0,11,50,0,0,7,7,117,0,0,0,9,15,14,23,21,35
1,Total population,1580000US3651000047020300,3651000047020300,"Census Tract 203, Kings County, New York city, New York",331,120,40,0,0,0,0,12,0,28,0,0,80,0,0,7,5,0,25,35,0,8,211,135,0,0,14,53,31,10,11,16,0,76,0,0,23,16,0,13,16,8,0
1,Total population,1580000US3651000047020400,3651000047020400,"Census Tract 204, Kings County, New York city, New York",241,32,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,18,14,209,58,0,0,0,24,0,0,0,9,25,151,0,0,0,12,10,23,24,44,38
1,Total population,1580000US3651000047020500,3651000047020500,"Census Tract 205, Kings County, New York city, New York",843,130,59,0,0,0,11,39,9,0,0,0,71,0,0,14,10,16,6,7,0,18,713,387,0,0,18,158,103,43,65,0,0,326,0,0,65,130,62,37,18,0,14
1,Total population,1580000US3651000047020600,3651000047020600,"Census Tract 206, Kings County, New York city, New York",273,75,30,0,0,0,0,9,0,0,8,13,45,0,0,0,0,0,0,20,0,25,198,89,0,0,0,16,30,22,0,16,5,109,0,0,0,24,0,10,11,17,47
1,Total population,1580000US3651000047020700,3651000047020700,"Census Tract 207, Kings County, New York city, New York",1591,248,65,0,0,24,25,0,8,0,8,0,183,0,0,18,58,35,0,33,0,39,1343,501,0,0,54,217,122,39,69,0,0,842,0,0,121,300,179,144,26,35,37
1,Total population,1580000US3651000047020800,3651000047020800,"Census Tract 208, Kings County, New York city, New York",469,121,39,0,0,0,25,0,14,0,0,0,82,0,0,8,12,0,19,0,0,43,348,153,0,0,0,68,29,29,7,7,13,195,0,0,17,34,7,34,30,56,17
1,Total population,1580000US3651000047021000,3651000047021000,"Census Tract 210, Kings County, New York city, New York",568,150,55,0,0,12,20,5,5,5,8,0,95,0,0,24,0,6,5,12,16,32,418,166,0,4,10,54,34,5,5,54,0,252,0,0,25,40,47,25,46,23,46
1,Total population,1580000US3651000047021200,3651000047021200,"Census Tract 212, Kings County, New York city, New York",631,154,57,0,0,9,15,0,9,16,0,8,97,0,0,0,0,25,7,9,28,28,477,285,0,0,0,86,61,54,23,39,22,192,0,0,16,26,22,38,19,17,54
1,Total population,1580000US3651000047021300,3651000047021300,"Census Tract 213, Kings County, New York city, New York",816,253,79,0,0,0,17,30,9,18,0,5,174,0,0,16,11,33,31,48,24,11,563,205,0,0,0,67,52,15,23,37,11,358,0,0,20,80,61,70,42,70,15
1,Total population,1580000US3651000047021400,3651000047021400,"Census Tract 214, Kings County, New York city, New York",145,56,9,0,0,0,0,0,0,0,0,9,47,0,0,10,0,0,0,20,0,17,89,38,0,0,0,0,20,0,0,0,18,51,0,0,10,0,11,11,10,0,9
1,Total population,1580000US3651000047021500,3651000047021500,"Census Tract 215, Kings County, New York city, New York",1674,277,96,0,9,10,18,44,10,0,0,5,181,0,0,74,36,16,10,15,30,0,1397,710,0,0,51,210,181,118,120,10,20,687,0,0,111,291,103,55,78,24,25
1,Total population,1580000US3651000047021600,3651000047021600,"Census Tract 216, Kings County, New York city, New York",261,64,45,0,0,34,0,2,9,0,0,0,19,0,0,0,7,0,0,6,0,6,197,78,0,6,25,21,6,0,10,0,10,119,0,0,0,9,9,10,0,13,78
1,Total population,1580000US3651000047021700,3651000047021700,"Census Tract 217, Kings County, New York city, New York",730,236,120,0,0,26,25,10,33,26,0,0,116,0,0,22,8,5,0,26,46,9,494,260,0,0,45,100,61,9,31,0,14,234,0,0,35,70,48,43,11,27,0
1,Total population,1580000US3651000047021800,3651000047021800,"Census Tract 218, Kings County, New York city, New York",284,104,51,0,0,11,11,0,11,0,0,18,53,0,0,13,7,11,0,0,0,22,180,94,0,0,38,14,0,3,0,27,12,86,0,0,0,0,0,0,14,9,63
1,Total population,1580000US3651000047021900,3651000047021900,"Census Tract 219, Kings County, New York city, New York",820,273,156,0,0,0,6,77,13,19,18,23,117,0,0,29,24,31,7,9,0,17,547,270,0,0,9,122,75,26,9,29,0,277,0,0,55,49,19,70,31,40,13
1,Total population,1580000US3651000047022000,3651000047022000,"Census Tract 220, Kings County, New York city, New York",455,151,58,0,0,0,7,7,19,8,0,17,93,0,0,11,0,19,8,19,25,11,304,103,0,0,8,24,29,16,7,0,19,201,0,0,9,18,17,0,26,36,95
1,Total population,1580000US3651000047022100,3651000047022100,"Census Tract 221, Kings County, New York city, New York",1269,631,518,0,0,17,186,175,81,35,12,12,113,0,0,8,0,17,23,28,18,19,638,307,0,0,11,42,137,68,34,7,8,331,0,0,20,118,46,35,46,44,22
1,Total population,1580000US3651000047022200,3651000047022200,"Census Tract 222, Kings County, New York city, New York",536,189,95,0,0,20,32,0,12,31,0,0,94,0,0,0,10,0,8,14,37,25,347,146,0,0,0,47,31,32,0,28,8,201,0,0,6,33,44,16,0,22,80
1,Total population,1580000US3651000047022300,3651000047022300,"Census Tract 223, Kings County, New York city, New York",762,373,200,0,0,0,71,87,33,0,0,9,173,0,0,24,36,31,32,22,16,12,389,188,0,0,28,63,28,22,20,27,0,201,0,0,26,86,27,28,19,15,0
1,Total population,1580000US3651000047022400,3651000047022400,"Census Tract 224, Kings County, New York city, New York",500,209,95,0,0,0,19,20,22,0,29,5,114,0,0,0,30,21,3,34,26,0,291,150,0,0,8,34,46,30,32,0,0,141,0,0,0,22,10,25,18,5,61
1,Total population,1580000US3651000047022500,3651000047022500,"Census Tract 225, Kings County, New York city, New York",200,84,47,0,11,0,0,21,0,15,0,0,37,0,0,12,0,11,5,0,9,0,116,37,0,0,0,0,0,11,16,10,0,79,0,0,9,12,0,30,0,16,12
1,Total population,1580000US3651000047022600,3651000047022600,"Census Tract 226, Kings County, New York city, New York",413,245,159,0,0,35,57,55,12,0,0,0,86,0,0,15,12,0,14,15,30,0,168,88,0,0,11,15,34,28,0,0,0,80,0,0,29,11,15,0,0,0,25
1,Total population,1580000US3651000047022700,3651000047022700,"Census Tract 227, Kings County, New York city, New York",821,323,105,0,0,8,14,26,34,0,17,6,218,0,17,0,37,30,20,34,24,56,498,300,0,0,16,69,35,81,68,25,6,198,0,0,27,56,53,25,29,8,0
1,Total population,1580000US3651000047022800,3651000047022800,"Census Tract 228, Kings County, New York city, New York",336,131,67,0,0,17,7,12,26,0,5,0,64,0,0,11,0,10,13,5,9,16,205,143,0,0,7,41,48,43,0,0,4,62,0,0,8,15,8,13,7,4,7
1,Total population,1580000US3651000047022900,3651000047022900,"Census Tract 229, Kings County, New York city, New York",691,184,103,0,0,9,24,27,20,0,23,0,81,0,0,9,20,9,0,14,15,14,507,294,0,0,25,49,129,26,40,5,20,213,0,0,43,55,22,50,8,15,20
1,Total population,1580000US3651000047023000,3651000047023000,"Census Tract 230, Kings County, New York city, New York",358,84,65,0,0,0,22,17,5,0,10,11,19,0,0,0,0,0,19,0,0,0,274,148,0,0,0,36,28,42,6,28,8,126,0,0,9,0,8,7,10,47,45
1,Total population,1580000US3651000047023100,3651000047023100,"Census Tract 231, Kings County, New York city, New York",989,329,155,0,0,33,20,26,27,13,18,18,174,0,5,43,34,25,23,0,8,36,660,339,0,0,19,126,138,13,18,7,18,321,0,0,40,88,24,33,50,47,39
1,Total population,1580000US3651000047023200,3651000047023200,"Census Tract 232, Kings County, New York city, New York",442,188,85,0,0,8,0,27,22,7,5,16,103,0,0,9,0,0,16,0,51,27,254,109,0,0,0,7,16,22,45,10,9,145,0,0,0,19,0,20,16,34,56
1,Total population,1580000US3651000047023300,3651000047023300,"Census Tract 233, Kings County, New York city, New York",803,266,103,0,0,0,27,30,20,8,18,0,163,0,0,4,7,11,32,77,16,16,537,250,0,0,10,25,78,52,57,9,19,287,0,0,6,86,19,83,45,16,32
1,Total population,1580000US3651000047023400,3651000047023400,"Census Tract 234, Kings County, New York city, New York",506,226,70,0,0,8,0,0,20,6,5,31,156,0,0,10,0,0,10,19,52,65,280,112,0,0,0,10,14,25,0,26,37,168,0,0,0,0,8,25,0,24,111
1,Total population,1580000US3651000047023500,3651000047023500,"Census Tract 235, Kings County, New York city, New York",251,98,54,0,0,7,19,10,11,7,0,0,44,0,0,18,8,7,6,0,5,0,153,63,0,0,10,26,5,15,0,7,0,90,0,0,21,16,32,0,8,13,0
1,Total population,1580000US3651000047023600,3651000047023600,"Census Tract 236, Kings County, New York city, New York",658,314,87,0,0,0,11,9,9,27,26,5,227,0,0,4,10,8,21,32,34,118,344,137,0,0,0,0,15,16,8,45,53,207,0,0,0,11,0,4,12,56,124
1,Total population,1580000US3651000047023700,3651000047023700,"Census Tract 237, Kings County, New York city, New York",203,124,65,0,0,13,10,28,14,0,0,0,59,0,0,23,8,10,8,4,6,0,79,47,0,0,0,0,15,26,3,3,0,32,0,0,5,5,0,6,0,0,16
1,Total population,1580000US3651000047023800,3651000047023800,"Census Tract 238, Kings County, New York city, New York",525,206,56,0,11,0,1,9,0,0,17,18,150,0,0,0,13,11,28,12,19,67,319,155,0,0,0,28,52,27,8,8,32,164,0,0,5,0,10,27,34,30,58
1,Total population,1580000US3651000047024000,3651000047024000,"Census Tract 240, Kings County, New York city, New York",567,230,108,0,18,18,41,8,0,0,5,18,122,0,0,7,14,0,0,9,55,37,337,98,0,0,6,0,46,11,10,13,12,239,0,0,18,37,0,26,10,31,117
1,Total population,1580000US3651000047024100,3651000047024100,"Census Tract 241, Kings County, New York city, New York",364,258,127,0,9,0,60,0,10,21,18,9,131,0,0,0,8,11,20,9,36,47,106,24,0,0,0,0,8,16,0,0,0,82,0,0,0,33,9,0,0,40,0
1,Total population,1580000US3651000047024200,3651000047024200,"Census Tract 242, Kings County, New York city, New York",189,91,27,0,0,0,14,0,8,5,0,0,64,0,0,14,9,11,7,0,0,23,98,58,0,0,0,6,10,8,0,28,6,40,0,0,0,9,0,0,0,16,15
1,Total population,1580000US3651000047024300,3651000047024300,"Census Tract 243, Kings County, New York city, New York",799,353,232,0,0,8,16,49,41,48,25,45,121,0,0,0,0,0,9,33,19,60,446,193,0,0,8,41,52,40,33,10,9,253,0,0,29,24,32,59,49,28,32
1,Total population,1580000US3651000047024400,3651000047024400,"Census Tract 244, Kings County, New York city, New York",392,113,27,0,0,0,0,6,13,0,8,0,86,0,0,8,0,18,5,0,19,36,279,109,0,0,17,19,5,0,20,8,40,170,0,0,0,17,0,43,18,36,56
1,Total population,1580000US3651000047024500,3651000047024500,"Census Tract 245, Kings County, New York city, New York",1003,428,210,0,0,0,36,58,45,45,19,7,218,0,0,17,21,58,20,55,14,33,575,279,0,0,44,49,77,57,29,23,0,296,0,0,23,52,74,61,29,40,17
1,Total population,1580000US3651000047024600,3651000047024600,"Census Tract 246, Kings County, New York city, New York",299,29,0,0,0,0,0,0,0,0,0,0,29,0,0,0,18,4,0,7,0,0,270,148,0,0,0,34,30,55,0,14,15,122,0,0,0,8,36,7,7,13,51
1,Total population,1580000US3651000047024700,3651000047024700,"Census Tract 247, Kings County, New York city, New York",578,313,179,0,0,0,74,20,58,12,15,0,134,0,0,8,32,11,41,12,14,16,265,163,0,0,13,14,73,12,37,14,0,102,0,0,0,31,22,0,25,0,24
1,Total population,1580000US3651000047024800,3651000047024800,"Census Tract 248, Kings County, New York city, New York",314,81,7,0,0,0,0,0,0,0,7,0,74,0,0,0,8,10,0,23,7,26,233,125,0,0,0,30,21,23,16,27,8,108,0,0,0,16,17,9,16,7,43
1,Total population,1580000US3651000047024900,3651000047024900,"Census Tract 249, Kings County, New York city, New York",1013,391,155,0,11,0,44,24,23,28,12,13,236,0,0,35,15,36,51,38,57,4,622,431,0,13,0,142,134,52,59,15,16,191,0,0,0,17,59,18,21,57,19
1,Total population,1580000US3651000047025000,3651000047025000,"Census Tract 250, Kings County, New York city, New York",126,21,6,0,0,6,0,0,0,0,0,0,15,0,0,7,8,0,0,0,0,0,105,43,0,0,0,6,8,12,4,6,7,62,0,0,6,0,6,0,0,16,34
1,Total population,1580000US3651000047025100,3651000047025100,"Census Tract 251, Kings County, New York city, New York",578,311,165,0,0,35,5,55,40,5,0,25,146,0,0,19,0,14,21,8,9,75,267,94,0,0,0,18,7,16,25,7,21,173,0,0,14,0,38,20,23,9,69
1,Total population,1580000US3651000047025200,3651000047025200,"Census Tract 252, Kings County, New York city, New York",864,285,81,0,0,18,0,18,10,21,14,0,204,8,8,36,0,12,10,19,41,70,579,249,0,0,24,47,62,53,29,6,28,330,0,0,8,50,19,25,54,65,109
1,Total population,1580000US3651000047025300,3651000047025300,"Census Tract 253, Kings County, New York city, New York",364,179,75,9,0,7,10,20,10,0,10,9,104,8,8,0,6,16,29,0,28,9,185,102,0,0,0,37,0,42,5,9,9,83,0,0,18,16,9,23,11,6,0
1,Total population,1580000US3651000047025400,3651000047025400,"Census Tract 254, Kings County, New York city, New York",440,133,47,0,0,0,18,10,0,0,7,12,86,0,0,5,16,8,14,5,12,26,307,157,0,0,0,44,50,22,7,14,20,150,0,0,19,45,0,6,0,24,56
1,Total population,1580000US3651000047025500,3651000047025500,"Census Tract 255, Kings County, New York city, New York",451,279,59,0,0,0,0,28,8,10,13,0,220,0,0,0,0,39,45,50,58,28,172,83,0,0,0,27,0,10,0,21,25,89,0,0,0,0,0,8,18,49,14
1,Total population,1580000US3651000047025600,3651000047025600,"Census Tract 256, Kings County, New York city, New York",281,57,13,0,0,0,0,0,0,0,7,6,44,0,0,0,8,7,0,0,13,16,224,87,0,0,9,35,21,8,14,0,0,137,0,0,18,7,25,0,6,26,55
1,Total population,1580000US3651000047025700,3651000047025700,"Census Tract 257, Kings County, New York city, New York",258,86,43,0,0,10,7,26,0,0,0,0,43,11,0,9,0,9,14,0,0,0,172,90,0,9,26,24,7,12,0,12,0,82,0,0,11,14,0,38,0,19,0
1,Total population,1580000US3651000047025800,3651000047025800,"Census Tract 258, Kings County, New York city, New York",573,148,40,0,0,0,15,0,6,0,12,7,108,0,0,7,27,5,0,13,31,25,425,158,0,0,13,49,46,19,0,20,11,267,0,0,15,50,21,29,44,44,64
1,Total population,1580000US3651000047025901,3651000047025901,"Census Tract 259.01, Kings County, New York city, New York",439,286,208,0,0,3,0,130,66,9,0,0,78,0,0,8,45,14,0,4,0,7,153,100,0,0,11,55,25,0,9,0,0,53,0,0,20,9,7,8,9,0,0
1,Total population,1580000US3651000047025902,3651000047025902,"Census Tract 259.02, Kings County, New York city, New York",349,165,52,7,0,5,0,19,13,8,0,0,113,0,19,8,8,0,13,31,20,14,184,125,0,0,9,13,22,27,32,8,14,59,0,0,0,0,14,13,18,0,14
1,Total population,1580000US3651000047026000,3651000047026000,"Census Tract 260, Kings County, New York city, New York",395,122,25,0,0,0,5,0,8,7,0,5,97,0,0,12,0,0,9,0,16,60,273,116,0,0,0,46,38,0,7,6,19,157,0,0,17,43,17,9,27,6,38
1,Total population,1580000US3651000047026100,3651000047026100,"Census Tract 261, Kings County, New York city, New York",765,368,193,0,0,29,28,28,59,29,0,20,175,8,21,33,14,22,37,6,25,9,397,204,0,0,16,30,98,27,11,11,11,193,0,0,10,71,40,20,17,11,24
1,Total population,1580000US3651000047026200,3651000047026200,"Census Tract 262, Kings County, New York city, New York",305,101,52,0,0,3,0,0,20,14,15,0,49,0,0,0,0,6,0,12,22,9,204,57,0,0,0,4,22,14,4,5,8,147,0,0,0,15,11,23,16,18,64
1,Total population,1580000US3651000047026300,3651000047026300,"Census Tract 263, Kings County, New York city, New York",292,128,59,0,0,11,11,11,0,9,8,9,69,0,0,10,17,14,13,0,8,7,164,103,0,0,11,7,57,12,8,8,0,61,0,0,8,8,8,0,31,6,0
1,Total population,1580000US3651000047026400,3651000047026400,"Census Tract 264, Kings County, New York city, New York",729,130,83,0,0,41,34,8,0,0,0,0,47,0,0,0,0,0,7,0,13,27,599,365,0,0,65,107,72,57,38,19,7,234,0,0,14,26,27,13,49,31,74
1,Total population,1580000US3651000047026500,3651000047026500,"Census Tract 265, Kings County, New York city, New York",630,250,112,0,7,0,17,64,7,17,0,0,138,0,6,11,9,17,21,49,0,25,380,224,0,0,13,74,85,11,11,9,21,156,0,0,19,21,23,51,21,0,21
1,Total population,1580000US3651000047026600,3651000047026600,"Census Tract 266, Kings County, New York city, New York",354,57,0,0,0,0,0,0,0,0,0,0,57,0,0,13,8,0,9,0,27,0,297,114,0,0,33,26,17,13,9,0,16,183,0,0,7,46,30,17,13,11,59
1,Total population,1580000US3651000047026700,3651000047026700,"Census Tract 267, Kings County, New York city, New York",1032,273,132,0,0,12,0,30,18,33,24,15,141,0,0,19,13,36,0,34,39,0,759,395,0,0,42,69,104,56,91,21,12,364,0,0,20,70,77,23,96,32,46
1,Total population,1580000US3651000047026800,3651000047026800,"Census Tract 268, Kings County, New York city, New York",440,119,15,0,0,0,0,6,0,0,0,9,104,0,0,9,0,0,0,6,34,55,321,147,0,0,0,17,58,28,12,0,32,174,0,0,19,24,12,6,21,35,57
1,Total population,1580000US3651000047026900,3651000047026900,"Census Tract 269, Kings County, New York city, New York",628,215,83,0,0,0,35,0,26,11,0,11,132,0,0,32,0,38,6,10,37,9,413,216,0,0,8,21,51,65,50,10,11,197,0,0,5,11,39,33,27,51,31
1,Total population,1580000US3651000047027000,3651000047027000,"Census Tract 270, Kings County, New York city, New York",321,143,52,0,0,14,0,8,0,0,20,10,91,0,0,13,0,0,0,0,48,30,178,96,0,0,0,17,8,30,21,15,5,82,0,0,0,13,19,9,21,0,20
1,Total population,1580000US3651000047027101,3651000047027101,"Census Tract 271.01, Kings County, New York city, New York",272,93,69,0,0,15,0,19,27,0,0,8,24,0,0,0,0,0,0,16,0,8,179,63,0,0,0,0,38,0,8,8,9,116,0,0,0,17,0,44,40,8,7
1,Total population,1580000US3651000047027102,3651000047027102,"Census Tract 271.02, Kings County, New York city, New York",137,63,26,0,0,0,0,13,0,13,0,0,37,0,0,0,0,7,12,10,0,8,74,39,0,0,0,9,13,0,0,9,8,35,0,0,0,12,11,12,0,0,0
